State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
VIC,Inner Regional Australia,Hume,Indigo,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner,Yarra,Arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Port Phillip,Collector Road
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Arterial Road
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Arterial Road
QLD,Outer Regional Australia,Cairns,Cassowary Coast,Sub-arterial Road
QLD,Inner Regional Australia,Ipswich,Scenic Rim,National or State Highway
QLD,Outer Regional Australia,Central Queensland,Gladstone,Sub-arterial Road
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Sub-arterial Road
TAS,Outer Regional Australia,West and North West,Waratah-Wynyard,National or State Highway
VIC,Inner Regional Australia,Shepparton,Campaspe,National or State Highway
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Collector Road
NT,Very Remote Australia,Northern Territory - Outback,Barkly,National or State Highway
NSW,Major Cities of Australia,Sydney - Parramatta,Blacktown,National or State Highway
NSW,Outer Regional Australia,Central West,Forbes,National or State Highway
NSW,Inner Regional Australia,Central West,Blayney,National or State Highway
SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Collector Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Local Road
NSW,Inner Regional Australia,Central West,Lithgow,Sub-arterial Road
VIC,Inner Regional Australia,Geelong,Surf Coast,Sub-arterial Road
NT,Outer Regional Australia,Darwin,Palmerston,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Gunnedah,Local Road
QLD,Outer Regional Australia,Townsville,Townsville,National or State Highway
TAS,Outer Regional Australia,Launceston and North East,Break O'Day,Access road
VIC,Outer Regional Australia,North West,Buloke,Collector Road
VIC,Outer Regional Australia,North West,West Wimmera,Arterial Road
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,Arterial Road
NSW,Outer Regional Australia,Capital Region,Snowy Monaro,Sub-arterial Road
TAS,Inner Regional Australia,Hobart,Hobart,Sub-arterial Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-arterial Road
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Sub-arterial Road
VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,Local Road
NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Arterial Road
NSW,Inner Regional Australia,Murray,Berrigan,Local Road
NSW,Remote Australia,Far West and Orana,Warren,National or State Highway
QLD,Very Remote Australia,Queensland - Outback,Cook,Local Road
NSW,Outer Regional Australia,Central West,Mid-Western,Sub-arterial Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road
VIC,Inner Regional Australia,Shepparton,Moira,Arterial Road
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,National or State Highway
QLD,Major Cities of Australia,Brisbane - North,Brisbane,Local Road
SA,Outer Regional Australia,South Australia - South East,Berri Barmera,Local Road
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Collector Road
NSW,Outer Regional Australia,Riverina,Narrandera,Arterial Road
VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Moonee Valley,Collector Road
VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Local Road
NT,Outer Regional Australia,Darwin,Litchfield,Sub-arterial Road
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Collector Road
NSW,Outer Regional Australia,New England and North West,Narrabri,Local Road
NSW,Outer Regional Australia,New England and North West,Glen Innes Severn,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,Arterial Road
VIC,Inner Regional Australia,Geelong,Golden Plains,National or State Highway
VIC,Major Cities of Australia,Melbourne - West,Melton,Sub-arterial Road
NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),National or State Highway
QLD,Outer Regional Australia,Darling Downs - Maranoa,Toowoomba,National or State Highway
NSW,Outer Regional Australia,New England and North West,Tenterfield,Sub-arterial Road
VIC,Inner Regional Australia,Hume,Indigo,Arterial Road
VIC,Inner Regional Australia,Warrnambool and South West,Moyne,Sub-arterial Road
VIC,Inner Regional Australia,Shepparton,Campaspe,Local Road
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Local Road
QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Collector Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Toowoomba,Collector Road
VIC,Major Cities of Australia,Melbourne - North West,Moonee Valley,National or State Highway
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner West,Inner West,Collector Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Casey,National or State Highway
VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,National or State Highway
QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Collector Road
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Collector Road
SA,Major Cities of Australia,Adelaide - North,Salisbury,Sub-arterial Road
NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,Arterial Road
SA,Outer Regional Australia,South Australia - Outback,Whyalla,Local Road
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Collector Road
