State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
QLD,Major Cities of Australia,Sunshine Coast,Noosa,Local Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Inner West,Collector Road
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Access road
NSW,Outer Regional Australia,Capital Region,Hilltops,Arterial Road
NT,Remote Australia,Northern Territory - Outback,Unincorporated NT,Access road
NT,Remote Australia,Northern Territory - Outback,West Arnhem,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Yarra,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,Sub-arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,National or State Highway
QLD,Outer Regional Australia,Central Queensland,Central Highlands (Qld),Local Road
NSW,Outer Regional Australia,Murray,Wentworth,National or State Highway
NSW,Inner Regional Australia,Murray,Federation,National or State Highway
VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,Arterial Road
NSW,Major Cities of Australia,Sydney - Parramatta,Canterbury-Bankstown,Local Road
TAS,Very Remote Australia,West and North West,King Island,Arterial Road
TAS,Inner Regional Australia,Hobart,Glenorchy,Local Road
NT,Outer Regional Australia,Darwin,Palmerston,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Port Phillip,Arterial Road
SA,Remote Australia,South Australia - South East,Kangaroo Island,Local Road
VIC,Major Cities of Australia,Melbourne - Inner,Merri-bek,Local Road
NSW,Outer Regional Australia,New England and North West,Gwydir,Arterial Road
VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,National or State Highway
SA,Remote Australia,South Australia - South East,Kangaroo Island,Sub-arterial Road
TAS,Inner Regional Australia,Launceston and North East,Meander Valley,National or State Highway
TAS,Outer Regional Australia,West and North West,Waratah-Wynyard,Collector Road
VIC,Inner Regional Australia,Shepparton,Moira,Sub-arterial Road
NSW,Inner Regional Australia,New England and North West,Uralla,Local Road
SA,Major Cities of Australia,Adelaide - South,Holdfast Bay,Arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Sub-arterial Road
VIC,Inner Regional Australia,Hume,Wodonga,National or State Highway
QLD,Remote Australia,Cairns,Douglas,Collector Road
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Arterial Road
NT,Outer Regional Australia,Darwin,Darwin,Local Road
NSW,Inner Regional Australia,Murray,Berrigan,National or State Highway
QLD,Outer Regional Australia,Townsville,Charters Towers,National or State Highway
NSW,Remote Australia,Riverina,Carrathool,Arterial Road
NSW,Inner Regional Australia,Capital Region,Eurobodalla,Arterial Road
TAS,Outer Regional Australia,West and North West,Devonport,Arterial Road
VIC,Outer Regional Australia,North West,Ararat,Sub-arterial Road
VIC,Inner Regional Australia,Melbourne - North East,Murrindindi,Access road
VIC,Inner Regional Australia,Hume,Strathbogie,Sub-arterial Road
QLD,Inner Regional Australia,Central Queensland,Gladstone,Local Road
NSW,Remote Australia,Far West and Orana,Bogan,Sub-arterial Road
QLD,Inner Regional Australia,Sunshine Coast,Noosa,Collector Road
NSW,Inner Regional Australia,Riverina,Junee,Arterial Road
VIC,Inner Regional Australia,Melbourne - North East,Murrindindi,Local Road
VIC,Outer Regional Australia,Hume,Alpine,National or State Highway
NSW,Outer Regional Australia,Far West and Orana,Gilgandra,Sub-arterial Road
NSW,Very Remote Australia,Far West and Orana,Brewarrina,National or State Highway
NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Wollondilly,Sub-arterial Road
NT,Very Remote Australia,Northern Territory - Outback,East Arnhem,Sub-arterial Road
SA,Remote Australia,South Australia - Outback,Port Lincoln,Sub-arterial Road
QLD,Very Remote Australia,Queensland - Outback,Carpentaria,Collector Road
SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Sub-arterial Road
SA,Inner Regional Australia,Adelaide - North,Light,Sub-arterial Road
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Local Road
NSW,Major Cities of Australia,Sydney - South West,Camden,Local Road
TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,Sub-arterial Road
TAS,Inner Regional Australia,Hobart,Glenorchy,National or State Highway
NSW,Outer Regional Australia,Capital Region,Queanbeyan-Palerang,Arterial Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Collector Road
QLD,Very Remote Australia,Queensland - Outback,Longreach,National or State Highway
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Maitland,National or State Highway
VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Sub-arterial Road
VIC,Outer Regional Australia,Warrnambool and South West,Colac Otway,Arterial Road
SA,Remote Australia,South Australia - Outback,Lower Eyre Peninsula,Local Road
VIC,Major Cities of Australia,Geelong,Greater Geelong,Arterial Road
QLD,Outer Regional Australia,Wide Bay,Gympie,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,National or State Highway
VIC,Inner Regional Australia,Hume,Alpine,National or State Highway
VIC,Inner Regional Australia,North West,Northern Grampians,Arterial Road
NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Local Road
NT,Remote Australia,Northern Territory - Outback,MacDonnell,Arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,Local Road
NSW,Inner Regional Australia,Capital Region,Hilltops,Local Road
VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,Sub-arterial Road
VIC,Inner Regional Australia,Bendigo,Loddon,Sub-arterial Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,York,Arterial Road
QLD,Inner Regional Australia,Toowoomba,Toowoomba,Access road
VIC,Major Cities of Australia,Melbourne - Inner South,Stonnington,National or State Highway
QLD,Inner Regional Australia,Gold Coast,Gold Coast,Access road
NT,Remote Australia,Northern Territory - Outback,West Arnhem,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Inverell,Local Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,Sub-arterial Road
WA,Major Cities of Australia,Perth - South West,Rockingham,Arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Plantagenet,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula,Arterial Road
WA,Major Cities of Australia,Perth - South West,Kwinana,National or State Highway
NSW,Inner Regional Australia,Far West and Orana,Dubbo,Local Road
WA,Inner Regional Australia,Mandurah,Murray,Local Road
WA,Remote Australia,Western Australia - Wheat Belt,Dumbleyung,Arterial Road
WA,Remote Australia,Western Australia - Outback (North),Port Hedland,Local Road
TAS,Inner Regional Australia,Hobart,Derwent Valley,Arterial Road
NSW,Inner Regional Australia,Riverina,Coolamon,Arterial Road
VIC,Inner Regional Australia,Hume,Benalla,Sub-arterial Road
WA,Major Cities of Australia,Perth - North West,Stirling,Local Road
SA,Outer Regional Australia,South Australia - South East,Robe,Arterial Road
WA,Major Cities of Australia,Perth - Inner,Cambridge,National or State Highway
QLD,Outer Regional Australia,Darling Downs - Maranoa,Maranoa,Local Road
NSW,Major Cities of Australia,Illawarra,Shellharbour,Local Road
WA,Major Cities of Australia,Perth - North West,Wanneroo,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Plantagenet,Local Road
QLD,Inner Regional Australia,Moreton Bay - North,Somerset,National or State Highway
TAS,Outer Regional Australia,West and North West,Central Coast (Tas.),Sub-arterial Road
NSW,Inner Regional Australia,Murray,Albury,Local Road
NSW,Outer Regional Australia,Richmond - Tweed,Richmond Valley,Local Road
VIC,Inner Regional Australia,Ballarat,Moorabool,Local Road
NSW,Inner Regional Australia,New England and North West,Uralla,Arterial Road
WA,Major Cities of Australia,Perth - South East,Gosnells,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Dandaragan,National or State Highway
NSW,Major Cities of Australia,Sydney - Ryde,The Hills,National or State Highway
WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale,Arterial Road
TAS,Outer Regional Australia,South East,Southern Midlands,Sub-arterial Road
QLD,Outer Regional Australia,Wide Bay,North Burnett,Local Road
SA,Outer Regional Australia,South Australia - South East,Grant,National or State Highway
WA,Major Cities of Australia,Mandurah,Mandurah,Local Road
WA,Major Cities of Australia,Perth - North West,Wanneroo,Local Road
NSW,Remote Australia,Murray,Balranald,National or State Highway
VIC,Outer Regional Australia,Latrobe - Gippsland,South Gippsland,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Wattle Range,Arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),Local Road
SA,Outer Regional Australia,South Australia - South East,Southern Mallee,Local Road
VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Local Road
VIC,Inner Regional Australia,Bendigo,Loddon,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Woodanilling,Local Road
NSW,Outer Regional Australia,Central West,Warrumbungle,National or State Highway
NSW,Outer Regional Australia,Central West,Forbes,Sub-arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Dowerin,Local Road
WA,Outer Regional Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,National or State Highway
VIC,Major Cities of Australia,Melbourne - North West,Brimbank,Arterial Road
WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,Local Road
TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,National or State Highway
WA,Inner Regional Australia,Bunbury,Harvey,Local Road
SA,Inner Regional Australia,South Australia - South East,Murray Bridge,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Busway
WA,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale,Local Road
WA,Major Cities of Australia,Perth - North East,Bayswater,Local Road
VIC,Inner Regional Australia,Hume,Wangaratta,National or State Highway
WA,Major Cities of Australia,Perth - North East,Swan,Local Road
VIC,Inner Regional Australia,Bendigo,Macedon Ranges,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Doomadgee,Collector Road
NSW,Outer Regional Australia,Far West and Orana,Narromine,Local Road
QLD,Very Remote Australia,Queensland - Outback,Croydon,Sub-arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Mid-Coast,Local Road
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Arterial Road
WA,Major Cities of Australia,Perth - South East,Gosnells,Arterial Road
QLD,Major Cities of Australia,Brisbane - North,Brisbane,Pedestrian Thoroughfare
QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,Local Road
VIC,Outer Regional Australia,Hume,Towong,Local Road
NT,Very Remote Australia,Northern Territory - Outback,West Arnhem,Sub-arterial Road
NSW,Inner Regional Australia,Central West,Mid-Western,Local Road
NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,Arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Albany,National or State Highway
TAS,Outer Regional Australia,South East,Central Highlands (Tas.),Access road
NSW,Outer Regional Australia,Riverina,Lockhart,Arterial Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Chittering,Arterial Road
VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Local Road
VIC,Outer Regional Australia,Latrobe - Gippsland,Baw Baw,Local Road
NSW,Outer Regional Australia,New England and North West,Walcha,Access road
WA,Major Cities of Australia,Perth - South East,Canning,Arterial Road
WA,Remote Australia,Western Australia - Outback (South),Perenjori,Local Road
SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,Collector Road
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Collector Road
WA,Very Remote Australia,Western Australia - Outback (South),Mount Magnet,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner West,Inner West,Local Road
WA,Inner Regional Australia,Bunbury,Donnybrook-Balingup,Local Road
QLD,Inner Regional Australia,Sunshine Coast,Sunshine Coast,Collector Road
NSW,Remote Australia,Far West and Orana,Cobar,National or State Highway
QLD,Remote Australia,Queensland - Outback,Hope Vale,Local Road
SA,Remote Australia,South Australia - Outback,Cleve,Sub-arterial Road
SA,Inner Regional Australia,South Australia - South East,Murray Bridge,Collector Road
WA,Outer Regional Australia,Bunbury,Augusta Margaret River,Arterial Road
SA,Major Cities of Australia,Adelaide - South,Mitcham,National or State Highway
VIC,Major Cities of Australia,Melbourne - North West,Moonee Valley,Collector Road
WA,Major Cities of Australia,Perth - Inner,Vincent,National or State Highway
QLD,Inner Regional Australia,Gold Coast,Scenic Rim,Local Road
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Busway
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Wickepin,Arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,National or State Highway
VIC,Outer Regional Australia,Hume,Wangaratta,Arterial Road
VIC,Major Cities of Australia,Melbourne - North West,Melton,Sub-arterial Road
NT,Outer Regional Australia,Darwin,Darwin,Collector Road
VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay,Sub-arterial Road
WA,Major Cities of Australia,Perth - South West,Cockburn,Arterial Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Chittering,National or State Highway
WA,Very Remote Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,National or State Highway
WA,Major Cities of Australia,Perth - North East,Swan,Arterial Road
WA,Major Cities of Australia,Perth - South East,Victoria Park,National or State Highway
QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,Local Road
VIC,Major Cities of Australia,Melbourne - West,Wyndham,Sub-arterial Road
WA,Major Cities of Australia,Perth - South East,Armadale,Arterial Road
WA,Inner Regional Australia,Bunbury,Bunbury,Arterial Road
TAS,Inner Regional Australia,Hobart,Glenorchy,Sub-arterial Road
VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - West,West Torrens,Collector Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Gingin,Arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Moora,Arterial Road
VIC,Outer Regional Australia,Warrnambool and South West,Corangamite,Sub-arterial Road
WA,Major Cities of Australia,Perth - Inner,Perth,Arterial Road
WA,Inner Regional Australia,Bunbury,Busselton,Local Road
VIC,Outer Regional Australia,Latrobe - Gippsland,Wellington,Arterial Road
QLD,Remote Australia,Townsville,Charters Towers,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Williams,Local Road
NT,Outer Regional Australia,Darwin,Darwin,Sub-arterial Road
WA,Inner Regional Australia,Bunbury,Augusta Margaret River,Local Road
TAS,Outer Regional Australia,South East,Derwent Valley,Arterial Road
WA,Major Cities of Australia,Perth - North West,Stirling,National or State Highway
VIC,Major Cities of Australia,Melbourne - Outer East,Knox,National or State Highway
QLD,Outer Regional Australia,Wide Bay,South Burnett,Collector Road
QLD,Remote Australia,Townsville,Charters Towers,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Tatiara,Arterial Road
VIC,Inner Regional Australia,Warrnambool and South West,Moyne,Local Road
QLD,Very Remote Australia,Queensland - Outback,Quilpie,Sub-arterial Road
TAS,Outer Regional Australia,West and North West,Burnie,Local Road
SA,Outer Regional Australia,South Australia - South East,Mid Murray,Sub-arterial Road
WA,Major Cities of Australia,Perth - South West,Kwinana,Arterial Road
TAS,Outer Regional Australia,Launceston and North East,George Town,Collector Road
VIC,Inner Regional Australia,Bendigo,Mount Alexander,National or State Highway
WA,Major Cities of Australia,Perth - South West,Rockingham,National or State Highway
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains,National or State Highway
TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Kojonup,Arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Mount Marshall,Arterial Road
SA,Outer Regional Australia,South Australia - South East,Kingston (SA),Arterial Road
WA,Remote Australia,Western Australia - Outback (North),Karratha,Local Road
WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton,National or State Highway
NSW,Outer Regional Australia,Central West,Cowra,Sub-arterial Road
WA,Inner Regional Australia,Mandurah,Murray,National or State Highway
NSW,Outer Regional Australia,Far West and Orana,Dubbo,Sub-arterial Road
SA,Very Remote Australia,South Australia - Outback,Elliston,Sub-arterial Road
NSW,Inner Regional Australia,Mid North Coast,Kempsey,Arterial Road
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,Local Road
WA,Very Remote Australia,Western Australia - Outback (South),Coolgardie,Local Road
WA,Major Cities of Australia,Perth - Inner,Vincent,Arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Mount Remarkable,National or State Highway
NSW,Outer Regional Australia,Riverina,Narrandera,Sub-arterial Road
QLD,Remote Australia,Cairns,Tablelands,National or State Highway
ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Local Road
VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,Arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Flinders (Qld),Sub-arterial Road
QLD,Outer Regional Australia,Central Queensland,Gladstone,Local Road
WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Loxton Waikerie,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner South,Monash,Arterial Road
NSW,Outer Regional Australia,Central West,Bland,Local Road
NSW,Inner Regional Australia,Mid North Coast,Kempsey,Sub-arterial Road
WA,Very Remote Australia,Western Australia - Outback (North),Derby-West Kimberley,National or State Highway
VIC,Inner Regional Australia,Geelong,Greater Geelong,Collector Road
WA,Inner Regional Australia,Perth - North East,Mundaring,Local Road
WA,Inner Regional Australia,Bunbury,Donnybrook-Balingup,Arterial Road
SA,Major Cities of Australia,Adelaide - North,Light,National or State Highway
WA,Major Cities of Australia,Perth - South East,Belmont,Local Road
WA,Remote Australia,Western Australia - Wheat Belt,Nungarin,Local Road
VIC,Major Cities of Australia,Melbourne - Inner South,Bayside (Vic.),Arterial Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Northam,Local Road
WA,Very Remote Australia,Western Australia - Outback (North),Port Hedland,National or State Highway
NSW,Inner Regional Australia,Mid North Coast,Kempsey,National or State Highway
WA,Major Cities of Australia,Perth - South West,Melville,Local Road
WA,Major Cities of Australia,Perth - North East,Bassendean,Local Road
WA,Remote Australia,Western Australia - Wheat Belt,Yilgarn,National or State Highway
WA,Very Remote Australia,Western Australia - Outback (North),Broome,Local Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Access road
TAS,Remote Australia,West and North West,West Coast,National or State Highway
NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,Local Road
VIC,Inner Regional Australia,Ballarat,Moorabool,Arterial Road
WA,Remote Australia,Western Australia - Outback (South),Chapman Valley,Local Road
VIC,Inner Regional Australia,Melbourne - North East,Mitchell,Collector Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Port Pirie,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Uralla,Arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Broomehill-Tambellup,Arterial Road
NSW,Outer Regional Australia,Richmond - Tweed,Kyogle,Local Road
WA,Very Remote Australia,Western Australia - Outback (South),Meekatharra,National or State Highway
WA,Remote Australia,Western Australia - Outback (South),Esperance,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Williams,Arterial Road
QLD,Inner Regional Australia,Moreton Bay - North,Sunshine Coast,Access road
QLD,Outer Regional Australia,Wide Bay,North Burnett,Collector Road
WA,Inner Regional Australia,Bunbury,Capel,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Albany,Local Road
WA,Major Cities of Australia,Perth - South West,Kwinana,Local Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Local Road
TAS,Inner Regional Australia,Launceston and North East,Launceston,Collector Road
VIC,Inner Regional Australia,Melbourne - South East,Cardinia,National or State Highway
WA,Major Cities of Australia,Perth - South East,Canning,National or State Highway
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Sub-arterial Road
TAS,Outer Regional Australia,Launceston and North East,Break O'Day,Local Road
NT,Remote Australia,Northern Territory - Outback,MacDonnell,National or State Highway
WA,Outer Regional Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,Arterial Road
TAS,Outer Regional Australia,West and North West,Devonport,Local Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Western Downs,Collector Road
WA,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale,Arterial Road
SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Sub-arterial Road
VIC,Outer Regional Australia,North West,Swan Hill,Sub-arterial Road
NSW,Outer Regional Australia,Capital Region,Bega Valley,Sub-arterial Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Dandaragan,Arterial Road
VIC,Inner Regional Australia,Melbourne - South East,Cardinia,Sub-arterial Road
TAS,Outer Regional Australia,South East,Southern Midlands,Arterial Road
WA,Inner Regional Australia,Bunbury,Donnybrook-Balingup,National or State Highway
NSW,Major Cities of Australia,Sydney - City and Inner South,Inner West,Arterial Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,Sub-arterial Road
SA,Inner Regional Australia,South Australia - South East,Victor Harbor,Sub-arterial Road
VIC,Outer Regional Australia,Latrobe - Gippsland,Baw Baw,Collector Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,National or State Highway
WA,Very Remote Australia,Western Australia - Outback (South),Dundas,National or State Highway
SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Arterial Road
NSW,Remote Australia,Far West and Orana,Bogan,National or State Highway
NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,National or State Highway
SA,Inner Regional Australia,Adelaide - North,Light,National or State Highway
WA,Major Cities of Australia,Perth - South West,Cockburn,Local Road
NSW,Outer Regional Australia,Riverina,Federation,National or State Highway
NT,Remote Australia,Northern Territory - Outback,MacDonnell,Access road
VIC,Inner Regional Australia,Hume,Towong,Sub-arterial Road
VIC,Outer Regional Australia,North West,Yarriambiack,Arterial Road
WA,Very Remote Australia,Western Australia - Wheat Belt,Lake Grace,National or State Highway
WA,Inner Regional Australia,Bunbury,Dardanup,National or State Highway
WA,Very Remote Australia,Western Australia - Wheat Belt,Kondinin,Local Road
VIC,Inner Regional Australia,Melbourne - South East,Cardinia,Local Road
WA,Remote Australia,Western Australia - Wheat Belt,Kent,Arterial Road
SA,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield,Collector Road
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Local Road
NSW,Major Cities of Australia,Sydney - Inner West,Canada Bay,Collector Road
WA,Major Cities of Australia,Perth - South East,Belmont,National or State Highway
WA,Very Remote Australia,Western Australia - Outback (South),Coolgardie,National or State Highway
NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Collector Road
QLD,Outer Regional Australia,Logan - Beaudesert,Scenic Rim,Local Road
SA,Outer Regional Australia,South Australia - Outback,Port Augusta,Collector Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Wagin,Local Road
WA,Inner Regional Australia,Bunbury,Bunbury,National or State Highway
WA,Outer Regional Australia,Bunbury,Manjimup,Local Road
NSW,Major Cities of Australia,Sydney - Parramatta,Fairfield,Arterial Road
WA,Major Cities of Australia,Mandurah,Murray,Local Road
NSW,Remote Australia,Far West and Orana,Warren,Arterial Road
VIC,Inner Regional Australia,Melbourne - North East,Mitchell,National or State Highway
WA,Outer Regional Australia,Western Australia - Wheat Belt,Denmark,Local Road
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Local Road
WA,Inner Regional Australia,Bunbury,Harvey,National or State Highway
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Wakefield,Local Road
NSW,Outer Regional Australia,Central West,Weddin,Access road
QLD,Remote Australia,Central Queensland,Banana,Local Road
SA,Major Cities of Australia,Adelaide - South,Mitcham,Local Road
WA,Inner Regional Australia,Western Australia - Wheat Belt,Boddington,Arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Bruce Rock,Arterial Road
NSW,Outer Regional Australia,Central West,Cowra,Arterial Road
WA,Inner Regional Australia,Perth - North East,Swan,Local Road
NT,Very Remote Australia,Northern Territory - Outback,East Arnhem,Local Road
SA,Inner Regional Australia,South Australia - South East,Mid Murray,Arterial Road
TAS,Outer Regional Australia,South East,Central Highlands (Tas.),Sub-arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Kulin,Local Road
NT,Outer Regional Australia,Darwin,Litchfield,Local Road
WA,Outer Regional Australia,Western Australia - Outback (South),Kalgoorlie-Boulder,Local Road
WA,Inner Regional Australia,Bunbury,Augusta Margaret River,Arterial Road
WA,Major Cities of Australia,Perth - South West,Cockburn,National or State Highway
NSW,Outer Regional Australia,Capital Region,Bega Valley,Local Road
VIC,Outer Regional Australia,Latrobe - Gippsland,Wellington,Collector Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect,Local Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Cuballing,Arterial Road
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Dungog,Local Road
WA,Very Remote Australia,Western Australia - Outback (South),Carnarvon,Local Road
WA,Remote Australia,Western Australia - Outback (South),Esperance,Local Road
VIC,Outer Regional Australia,North West,Hindmarsh,Local Road
NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Access road
WA,Very Remote Australia,Western Australia - Outback (North),Wyndham-East Kimberley,National or State Highway
VIC,Inner Regional Australia,Warrnambool and South West,Warrnambool,Collector Road
WA,Outer Regional Australia,Western Australia - Wheat Belt,Beverley,National or State Highway
WA,Major Cities of Australia,Perth - North West,Wanneroo,Arterial Road
WA,Very Remote Australia,Western Australia - Outback (South),Ravensthorpe,National or State Highway
NSW,Outer Regional Australia,Far West and Orana,Dubbo,Local Road
WA,Major Cities of Australia,Perth - South East,Canning,Local Road
WA,Major Cities of Australia,Perth - North West,Joondalup,Local Road
QLD,Very Remote Australia,Queensland - Outback,Mount Isa,National or State Highway
VIC,Major Cities of Australia,Melbourne - North East,Nillumbik,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - West,Moorabool,Arterial Road
SA,Very Remote Australia,South Australia - Outback,Coober Pedy,Local Road
NSW,Outer Regional Australia,Far West and Orana,Narromine,Sub-arterial Road
QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,Collector Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Sub-arterial Road
WA,Major Cities of Australia,Perth - North West,Joondalup,National or State Highway
NSW,Inner Regional Australia,Capital Region,Upper Lachlan,Sub-arterial Road
QLD,Very Remote Australia,Central Queensland,Central Highlands (Qld),Sub-arterial Road
NT,Remote Australia,Northern Territory - Outback,Katherine,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Arterial Road
NSW,Outer Regional Australia,New England and North West,Walcha,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Walcha,National or State Highway
NSW,Outer Regional Australia,Murray,Wentworth,Local Road
WA,Remote Australia,Western Australia - Wheat Belt,Dalwallinu,Local Road
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Arterial Road
TAS,Outer Regional Australia,West and North West,Waratah-Wynyard,Sub-arterial Road
WA,Remote Australia,Western Australia - Wheat Belt,Gnowangerup,Arterial Road
WA,Inner Regional Australia,Bunbury,Busselton,National or State Highway
